Fondo,Fecha,Valor
111,3/1/16,100
111,3/2/16,100
111,3/3/16,100
111,3/4/16,100
111,3/5/16,100
111,3/6/16,100
111,3/7/16,100.0245931
111,3/8/16,100.189121
111,3/9/16,100.2310548
111,3/10/16,100.2852488
111,3/11/16,100.3736406
111,3/12/16,100.4531991
111,3/13/16,100.5330735
111,3/14/16,100.5470304
111,3/15/16,100.5650848
111,3/16/16,100.7434778
111,3/17/16,100.9048461
111,3/18/16,100.5534569
111,3/19/16,100.5794881
111,3/20/16,100.605518
111,3/21/16,100.7107646
111,3/22/16,100.8034663
111,3/23/16,100.846113
111,3/24/16,100.8512846
111,3/25/16,100.8698116
111,3/26/16,100.8883387
111,3/27/16,100.9068657
111,3/28/16,101.0134496
111,3/29/16,101.0008223
111,3/30/16,101.0408587
111,3/31/16,101.0959468
111,4/1/16,100.9925976
111,4/2/16,101.0245056
111,4/3/16,101.0564136
111,4/4/16,100.9902295
111,4/5/16,100.9673105
111,4/6/16,101.1928775
111,4/7/16,101.565338
111,4/8/16,101.5583199
111,4/9/16,101.5845404
111,4/10/16,101.6107597
111,4/11/16,101.5965825
111,4/12/16,101.7831421
111,4/13/16,102.2906356
111,4/14/16,102.1205543
111,4/15/16,102.2684934
111,4/16/16,102.2947223
111,4/17/16,102.3209497
111,4/18/16,102.272033
111,4/19/16,102.359234
111,4/20/16,102.3637384
111,4/21/16,102.4350356
111,4/22/16,102.3723104
111,4/23/16,102.3984703
111,4/24/16,102.424629
111,4/25/16,102.5735629
111,4/26/16,102.2932454
111,4/27/16,102.4868185
111,4/28/16,102.4691778
111,4/29/16,102.5164348
111,4/30/16,102.5425153
111,5/1/16,102.5687925
111,5/2/16,102.5950683
111,5/3/16,102.5329372
111,5/4/16,102.5361351
111,5/5/16,102.6693622
111,5/6/16,102.5865296
111,5/7/16,102.6128006
111,5/8/16,102.6390702
111,5/9/16,102.6582809
111,5/10/16,102.1425589
111,5/11/16,102.1536581
111,5/12/16,102.1720327
111,5/13/16,102.44676
111,5/14/16,102.4730196
111,5/15/16,102.4992778
111,5/16/16,102.3429856
111,5/17/16,102.234997
111,5/18/16,101.979041
111,5/19/16,102.3976938
111,5/20/16,102.3968123
111,5/21/16,102.4214917
111,5/22/16,102.4461696
111,5/23/16,102.4454512
111,5/24/16,102.4279088
111,5/25/16,102.4865228
111,5/26/16,102.5086696
111,5/27/16,102.4341615
111,5/28/16,102.4568351
111,5/29/16,102.4795075
111,5/30/16,102.4670702
111,5/31/16,102.4789757
111,6/1/16,102.4820594
111,6/2/16,102.4432281
111,6/3/16,102.5445747
111,6/4/16,102.5679678
111,6/5/16,102.5913596
111,6/6/16,102.593884
